Auckland	-36.8406	174.74
Wellington	-41.2889	174.7772
Christchurch	-43.531	172.6365
Hamilton	-37.7833	175.2833
Tauranga	-37.6833	176.1667
Dunedin	-45.8742	170.5036
Palmerston North	-40.355	175.6117
Napier	-39.4903	176.9178
Rotorua	-38.1378	176.2514
New Plymouth	-39.0578	174.0742
Whangarei	-35.725	174.3236
Invercargill	-46.4131	168.3475
Nelson	-41.2708	173.2839
Gisborne	-38.6625	178.0178
Timaru	-44.3931	171.2508
Blenheim	-41.5167	173.95
Taupo	-38.6875	176.0694
Whakatane	-37.96	176.98
Waikanae	-40.875	175.0639
Wanaka	-44.7	169.15
Greymouth	-42.45	171.2075
Thames	-37.1383	175.5375
Kaitaia	-35.1125	173.2628
Alexandra	-45.2492	169.3797
Dargaville	-35.9333	173.8833
Westport	-41.7581	171.6022
Turangi	-38.9889	175.8083
Raglan	-37.9	174.65
Te Anau	-45.4167	167.7167
Whanganui	-39.9331	175.0286
